Date,Close
2025-01-02,131.3
2025-01-03,132.72
2025-01-06,132.43
2025-01-07,132.3
2025-01-08,132.82
2025-01-10,131.33
2025-01-13,132.87
2025-01-14,134.44
2025-01-15,135.29
2025-01-16,136.93
2025-01-17,137.75
2025-01-21,140.58
2025-01-22,140.25
2025-01-23,141.67
2025-01-24,141.07
2025-01-27,139.18
2025-01-28,138.26
2025-01-29,137.79
2025-01-30,139.33
2025-01-31,138.35
2025-02-03,136.98
2025-02-04,137.02
2025-02-05,137.12
2025-02-06,137.74
2025-02-07,137.33
2025-02-10,138.56
2025-02-11,138.61
2025-02-12,137.75
2025-02-13,137.89
2025-02-14,137.55
2025-02-18,138.63
2025-02-19,138.77
2025-02-20,137.86
2025-02-21,134.84
2025-02-24,134.23
2025-02-25,134.92
2025-02-26,135.0
2025-02-27,134.53
2025-02-28,136.33
2025-03-03,134.39
2025-03-04,131.77
2025-03-05,133.85
2025-03-06,132.7
2025-03-07,134.25
2025-03-10,132.15
2025-03-11,130.12
2025-03-12,130.11
2025-03-13,128.78
2025-03-14,131.13
2025-03-17,132.94
2025-03-18,131.88
2025-03-19,133.63
2025-03-20,132.96
2025-03-21,132.25
2025-03-24,134.29
2025-03-25,134.49
2025-03-26,133.6
2025-03-27,132.89
2025-03-28,130.15
2025-03-31,131.07
2025-04-01,131.81
2025-04-02,133.05
2025-04-03,125.85
2025-04-04,117.94
2025-04-07,117.39
2025-04-08,116.42
2025-04-09,126.76
2025-04-10,123.49
2025-04-11,125.67
2025-04-14,126.98
2025-04-15,126.35
2025-04-16,124.62
2025-04-17,125.3
2025-04-21,122.49
2025-04-22,124.63
2025-04-23,126.19
2025-04-24,129.02
2025-04-25,129.01
2025-04-28,129.44
2025-04-29,130.28
2025-04-30,131.22
2025-05-01,132.21
2025-05-02,134.58
2025-05-05,134.65
2025-05-06,133.47
2025-05-07,134.15
2025-05-08,136.0
2025-05-09,136.11
2025-05-12,140.3
2025-05-13,141.28
2025-05-14,140.6
2025-05-15,142.16
2025-05-16,143.78
2025-05-19,144.27
2025-05-20,143.75
2025-05-21,141.32
2025-05-22,141.29
2025-05-23,140.83
2025-05-27,143.31
2025-05-28,142.6
2025-05-29,142.73
2025-05-30,142.82
2025-06-02,142.64
2025-06-03,143.74
2025-06-04,143.82
2025-06-05,143.72
2025-06-06,144.93
2025-06-09,144.8
2025-06-10,144.17
2025-06-11,144.24
2025-06-12,143.86
2025-06-13,142.65
2025-06-16,143.63
2025-06-17,142.55
2025-06-18,142.21
2025-06-20,142.37
2025-06-23,143.86
2025-06-24,145.06
2025-06-25,143.78
2025-06-26,145.34
2025-06-27,146.79
2025-06-30,147.52
2025-07-01,148.01
2025-07-02,148.16
2025-07-03,149.42
2025-07-07,148.9
2025-07-08,148.86
2025-07-09,149.9
2025-07-10,150.74
2025-07-11,150.2
2025-07-14,151.01
2025-07-15,149.88
2025-07-16,150.41
2025-07-17,151.8
2025-07-18,151.46
2025-07-21,150.66
2025-07-22,151.02
2025-07-23,153.73
2025-07-24,153.47
2025-07-25,154.99
2025-07-28,154.51
2025-07-29,152.75
2025-07-30,152.0
2025-07-31,152.01
2025-08-01,149.74
2025-08-04,151.12
2025-08-05,150.81
2025-08-06,150.93
2025-08-07,150.71
2025-08-08,150.83
2025-08-11,150.34
2025-08-12,151.9
2025-08-13,152.48
2025-08-14,151.44
